transaction_id,company_id,product_id,date,value_date,amount,exchange_rate,status,accounting_status,category,description,counterparty_id
67c3953321db81a0bbcb2224b61042fa,COMP_0793,PRODUCT_01845,2026-07-12 00:00:00,2026-07-12 00:00:00,99.0,1.0,booked,RECONCILIATION_COMPLETED,payment_refund,DEVOLUCION COMPRA,
5c11fc17ee4743553450908025de7fb7,COMP_0878,PRODUCT_04892,2026-04-18 00:00:00,2026-04-18 00:00:00,-24.5,1.0,booked,RECONCILIATION_COMPLETED,collection_refund,DEVOLUCION [PERSON],
60efc518fdf64a2a9b6d5e59803a6238,COMP_0793,PRODUCT_01845,2026-08-19 00:00:00,2026-08-19 00:00:00,99.0,1.0,booked,RECONCILIATION_COMPLETED,payment_refund,DEVOLUCION COMPRA,
2d0cb5e4bfbf5433a2eb17541ebc596c,COMP_0793,PRODUCT_01385,2026-04-01 00:00:00,2026-04-01 00:00:00,-10.0,1.0,booked,RECONCILIATION_COMPLETED,interest_charge,LIQUIDACION INTERESES DE LA CUENTA,
010bab70449aca3d8997970ce946c4b4,COMP_0793,PRODUCT_01845,2026-08-01 00:00:00,2026-08-01 00:00:00,99.0,1.0,booked,RECONCILIATION_COMPLETED,payment_refund,DEVOLUCION COMPRA,
e2663e7f87ed1da500b27e963a0a8b3c,COMP_0793,PRODUCT_01845,2026-08-26 00:00:00,2026-08-26 00:00:00,99.0,1.0,booked,RECONCILIATION_COMPLETED,payment_refund,DEVOLUCION COMPRA,
88bce2ab4c4f65ad4893bdb926682d4b,COMP_0793,PRODUCT_01845,2026-07-07 00:00:00,2026-07-07 00:00:00,99.0,1.0,booked,RECONCILIATION_COMPLETED,payment_refund,DEVOLUCION COMPRA,
53240c98b04d0ede1caea9dfddd7b012,COMP_0793,PRODUCT_01845,2026-06-13 00:00:00,2026-06-13 00:00:00,99.0,1.0,booked,RECONCILIATION_COMPLETED,payment_refund,DEVOLUCION COMPRA,
3f7d1f10fb4128b6b369b1f804e12ff2,COMP_0793,PRODUCT_01385,2026-09-01 00:00:00,2026-09-01 00:00:00,-10.0,1.0,booked,RECONCILIATION_COMPLETED,interest_charge,LIQUIDACION INTERESES DE LA CUENTA,
4d8bd9bb6fadd4a76cd85bc77777ceb6,COMP_0793,PRODUCT_01385,2026-06-01 00:00:00,2026-06-01 00:00:00,-10.0,1.0,booked,RECONCILIATION_COMPLETED,interest_charge,LIQUIDACION INTERESES DE LA CUENTA,
