transaction_id,company_id,product_id,date,value_date,amount,exchange_rate,status,accounting_status,category,description,counterparty_id
1d71df4a9f1a3d9bc71b7dc431e426e8,COMP_0001,PRODUCT_03496,2026-08-06,2026-08-06,50753.94,1.0,booked,RECONCILIATION_COMPLETED,collection,TRANSFERENCIA OTRA ENTIDAD [COMPANY] SOCIED [TAXID] PAGO FACT NEO [COMPANY],COUNTERPARTY_03903
13e96671a5c37f1dc19e6d114caa058d,COMP_0001,PRODUCT_04955,2026-05-11,2026-05-11,1124.55,1.0,booked,RECONCILIATION_COMPLETED,collection,"TRANSFERENCIA DE [COMPANY] DEPORTIVO BALONCESTO [X], CONCEPTO [COMPANY].",
b168f2ce30c47529cfa1aeb675c3e545,COMP_0001,PRODUCT_03496,2026-07-03,2026-07-03,43223.01,1.0,booked,RECONCILIATION_COMPLETED,collection,TRANSFERENCIA INTERNA PAGO FACTURAS NEO GESTION ORDEN: [COMPANY],COUNTERPARTY_03903
c60ebd81ef576148426b5c6b09981136,COMP_0001,PRODUCT_03496,2026-04-09,2026-04-09,2784.57,1.0,booked,RECONCILIATION_COMPLETED,collection,TRANSFERENCIA INTERNA PAGO FACTURAS NEO GESTION ORDEN: [COMPANY],
2d7f2871f0b5d5a0d0686e55d14fc838,COMP_0001,PRODUCT_03496,2026-02-09,2026-02-09,512.12,1.0,booked,DISCARDED,collection,TRANSFERENCIA INTERNA PAGO FACT NEO GESTION ORDEN: COUNTERPARTY_21959,
ead53d632fe0374e24dce27b15d32de8,COMP_0001,PRODUCT_03496,2026-08-07,2026-08-07,-2700.0,1.0,booked,RECONCILIATION_COMPLETED,payment,TRANSFERENCIA OTRA ENTIDAD FIANZA ALQUILER NAVE [X] [X] EA 17,
722d8efa5736a58b965f7c0c9673260e,COMP_0001,PRODUCT_03496,2026-02-06,2026-02-06,-7260.0,1.0,booked,DISCARDED,payment,TRANSFERENCIA OTRA ENTIDAD [X] NEO GESTION COUNTERPARTY_26899,
8055639e029042a3c7680c02120947ad,COMP_0001,PRODUCT_03496,2026-06-29,2026-06-29,-9680.01,1.0,booked,RECONCILIATION_COMPLETED,payment,TRANSFERENCIA OTRA ENTIDAD PAGO FAC L&A,COUNTERPARTY_08037
4eecd29fea1d7d86e649fcda8f9ead77,COMP_0001,PRODUCT_03496,2026-02-09,2026-02-09,-246.29,1.0,booked,DISCARDED,payment,TRANSFERENCIA INTERNA DEVO [COMPANY] NEO INSTALACIONES,
34e49670014828fe70d81fee462233ce,COMP_0001,PRODUCT_03496,2026-05-14,2026-05-14,-14520.0,1.0,booked,RECONCILIATION_COMPLETED,payment,TRANSFERENCIA OTRA ENTIDAD [X] NEO GESTION COUNTERPARTY_09820,COUNTERPARTY_09820
cecb0d34b37be315a7110f8357d07c28,COMP_0001,PRODUCT_03496,2026-08-31,2026-08-31,-13206.64,1.0,booked,RECONCILIATION_COMPLETED,salary,NOMINA,
298e5aa3c6b029834e56035a506f14c6,COMP_0001,PRODUCT_03496,2026-05-29,2026-05-29,-15394.28,1.0,booked,RECONCILIATION_COMPLETED,salary,NOMINA,
ff03776769a5ff03e0752bdf2a81f144,COMP_0001,PRODUCT_03496,2026-02-27,2026-02-27,-6084.31,1.0,booked,DISCARDED,social_security,OPERACION SEGURIDAD SOCIAL TGSS COTIZACION 00 [REF],
901d5b1504c8ba754d2f5efae0024203,COMP_0001,PRODUCT_03496,2026-05-07,2026-05-07,-144.11,1.0,booked,RECONCILIATION_COMPLETED,utility,[COMPANY] [REF],COUNTERPARTY_10587
75137b1586295f0fa2c8debe2a6c4dcd,COMP_0001,PRODUCT_03496,2026-05-04,2026-05-01,-2018.36,1.0,booked,RECONCILIATION_COMPLETED,utility,TARJETA COUNTERPARTY_00008 TARJ.COUNTERPARTY_00008 ****9111,
1d0ccbd0302de08a3277f50c7cc03049,COMP_0001,PRODUCT_03496,2026-07-02,2026-07-02,-79.83,1.0,booked,RECONCILIATION_COMPLETED,utility,RECIBO ASOCIACION O COLEGIO PROFESIONAL ILUSTRE COUNTERPARTY_01234 [REF],
0b1e7d9cbd1ce925e63d7a3edf5ddad7,COMP_0001,PRODUCT_03496,2026-04-01,2026-04-01,-760.73,1.0,booked,RECONCILIATION_COMPLETED,utility,TARJETA COUNTERPARTY_00008 TARJ.COUNTERPARTY_00008 ****9111,
61e6ffc91ece7bfe390c7dcc9534493b,COMP_0001,PRODUCT_03496,2026-01-30,2026-01-30,-196.5,1.0,booked,DISCARDED,utility,"RECIBO TELEFONO VODAFONE SERVICIOS, [REF]",
67445e566f50062589e2d1af017f9242,COMP_0001,PRODUCT_03496,2026-08-03,2026-08-01,-106.16,1.0,booked,RECONCILIATION_COMPLETED,utility,COMPRAS CON TARJETA COUNTERPARTY_08875 TARJ.IBERC.****2014,
82ee73df24a2ce14d602b08e02d785dd,COMP_0001,PRODUCT_03496,2026-08-03,2026-08-03,-1.48,1.0,booked,RECONCILIATION_COMPLETED,utility,COMPRAS CON TARJETA COUNTERPARTY_08875 TARJ.IBERC.****4015,
5dc4ad55891bd6f473a2ff462adcffdc,COMP_0001,PRODUCT_03496,2026-04-23,2026-04-23,314.48,1.0,booked,RECONCILIATION_COMPLETED,payment_refund,DEVOLUCION DOCUMENTO,
d5c608bd02f370217228e322ece48634,COMP_0001,PRODUCT_03496,2026-02-06,2026-02-06,32726.87,1.0,booked,DISCARDED,collection,TRANSFERENCIA OTRA ENTIDAD PAGO FAC NEO GESTION . ORDEN: [COMPANY] S,
ab36a5571c614fbf5727d76f3d26516e,COMP_0001,PRODUCT_03496,2026-08-04,2026-08-04,1573.0,1.0,booked,RECONCILIATION_COMPLETED,collection,TRANSFERENCIA INTERNA PAGO DUPLICADO [X] ORDEN: COUNTERPARTY_15356,COUNTERPARTY_15356
f1b6b496c306f4fca2ea059eff59fa7f,COMP_0001,PRODUCT_03496,2026-05-14,2026-05-14,124368.78,1.0,booked,RECONCILIATION_COMPLETED,collection,TRANSFERENCIA OTRA ENTIDAD [COMPANY] SOCIED [TAXID] PAGO FAC NEO GESTION [COMPANY],
